date_added,sub,
2019-01-01,142872000,
2019-02-01,145563000,
2019-03-01,148863000,
2019-04-01,149875000,
2019-05-01,150235000,
2019-06-01,151562000,
2019-07-01,154258000,
2019-08-01,156248000,
2019-09-01,158334000,
2019-10-01,160280000,
2019-11-01,163085000,
2019-12-01,167090000,
2020-01-01,171256000,
2020-02-01,178984000,
2020-03-01,182860000,
2020-04-01,185374000,
2020-05-01,188532000,
2020-06-01,192950000,
2020-07-01,193875000,
2020-08-01,194538000,
2020-09-01,195150000,
2020-10-01,197147000,
2020-11-01,199875000,
2020-12-01,207500000,
2021-01-01,206147000,
2021-02-01,204932000,
2021-03-01,203660000,
2021-04-01,205962000,
2021-05-01,207845000,
2021-06-01,209180000,
2021-07-01,201035000,
2021-08-01,201175000,
2021-09-01,213563000,
2021-10-01,215326000,
2021-11-01,218465000,
2021-12-01,221844000,
2022-01-01,221735000,
2022-02-01,227563000,
2022-03-01,221641000,
2022-04-01,221752000,
2022-05-01,220932000,
2022-06-01,220672000,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
